Title,Message
Hydration Check,*Time check!* → Hydrate yourself 💧 and take a deep breath 🌿
Stretch & Sip,"*Hey, quick pause!* → Stretch your legs 🏃‍♂️ and sip some water 🥤"
Mindful Moment,*Reminder:* Your mind loves breaks → Grab water 🚰 & soak in some daylight ☀️
Refresh Reminder,*Breathe in...* → Get a glass of water 🥛 and refresh your mind 🍃
Well-Deserved Break,*You’ve been awesome!* → Now treat yourself to a water break 💦 + fresh air 🍃
Mini Break Alert,*Mini-break alert!* → Refill your water bottle 🧴 and move around a little ✨
Friendly Nudge,*Friendly nudge:* Time to hydrate 🥤 and clear your head outside 🌳
Pause & Reset,*Pause for a cause:* Sip water 💧 and let your eyes rest away from the screen 👀
Gentle Reminder,"*Gentle reminder:* Stretch, hydrate, and refresh → You’ve earned it! 🌿"
Wellness Check,*Quick wellness check:* Grab some water 💦 and catch a breath of fresh air 🌬️
